SALONES,ID,NAME,POPULATION,POP_DENS,PPIDX_CY,PPPC_CY,REGION
4,2807901119,Madrid,1138,126444,1716,2609694,Madrid
4,2807901120,Madrid,836,16720,1858,2826129,Madrid
0,2807901121,Madrid,1779,254143,1788,2719053,Madrid
1,2807901123,Madrid,811,270333,194,2949816,Madrid
1,2807901124,Madrid,803,114714,1868,2840547,Madrid
0,2807902001,Madrid,1122,37400,1725,2622858,Madrid
0,2807902002,Madrid,1457,485667,1704,2590798,Madrid
0,2807902003,Madrid,1168,14600,1776,2700776,Madrid
0,2807902004,Madrid,1003,50150,1709,2599556,Madrid
0,2807902005,Madrid,792,79200,1599,2430995,Madrid
0,2807902006,Madrid,2184,54600,1506,2290744,Madrid
0,2807902007,Madrid,744,74400,1541,2343853,Madrid
0,2807902008,Madrid,1688,562667,1598,2430063,Madrid
1,2807902009,Madrid,2050,157692,1915,2912533,Madrid
0,2807902010,Madrid,1050,116667,1365,2076464,Madrid
0,2807902011,Madrid,1194,66333,1638,2491574,Madrid
0,2807902013,Madrid,1176,58800,1589,2416901,Madrid
1,2807902014,Madrid,1194,39800,1556,2366392,Madrid
0,2807902015,Madrid,1644,32880,1564,2378054,Madrid
0,2807902016,Madrid,1794,7176,1879,2857333,Madrid
0,2807902017,Madrid,1777,35540,1813,2757782,Madrid
0,2807902018,Madrid,2213,201182,1987,3021249,Madrid
0,2807902019,Madrid,1523,38075,2078,3160486,Madrid
1,2807902020,Madrid,1115,27875,1892,2877315,Madrid
0,2807902021,Madrid,1053,52650,1635,2486572,Madrid
0,2807902022,Madrid,1053,105300,1438,2186585,Madrid
0,2807902023,Madrid,1199,59950,1666,2533091,Madrid
0,2807902024,Madrid,1683,56100,1538,2338605,Madrid
0,2807902025,Madrid,814,81400,1399,2127973,Madrid
0,2807902026,Madrid,1296,64800,1733,2634698,Madrid
0,2807902027,Madrid,964,48200,1504,228662,Madrid
0,2807902028,Madrid,896,89600,1387,2108598,Madrid
0,2807902029,Madrid,757,75700,1314,1998671,Madrid
0,2807902030,Madrid,1343,67150,1567,2382451,Madrid
1,2807902031,Madrid,1094,109400,1658,2521453,Madrid
0,2807902032,Madrid,625,62500,1557,2368453,Madrid
0,2807902033,Madrid,1266,63300,1518,2308065,Madrid
0,2807902034,Madrid,884,88400,1555,236408,Madrid
